Borrower Number,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10
1,2.7974855514800088,1.0420764431791094,0.8601465552952134,1.4648286850272965,0.7192360854982329,0.9952370789505816,2.254948161623744,0.8352819504104508,0.9554122096234309
2,2.3053594409800424,0.3510095065533948,3.6124459921762586,1.0144759222290085,1.1598840491380618,0.12175303174171921,1.6813231460953053,2.624197681355765,5.435729993758713
3,0.18750706083980942,1.0002651383762746,1.734738312716629,1.4839881255758574,0.2001032127184223,5.556143365806198,0.7799628333801085,2.7872817088404154,0.2585915678616519
4,1.3166858772518262,1.0761152515426904,2.2606639333847096,0.5977376334898855,1.598045758579659,1.8720221392318594,0.7398197748730713,0.3682652269159719,0.5361398951340723
5,0.5914416969046027,0.30212172360347395,2.8480316063951827,1.0585942223155307,1.0840694108967304,0.43068172758148004,0.10881047426811392,0.4886899396187868,0.32024796615942763
6,0.914242808604629,1.9520570309826926,0.5374559910724356,2.2080136557250603,2.444821796344384,0.06245670196402862,1.2410314851299677,0.5841212365243225,0.24819926304833972
7,2.332815154914591,1.4790821122192677,0.49984648788937847,0.8937276237240332,0.3788754377313323,0.12080605497762059,2.0238584095827177,1.7895170747843088,0.5118605074164553
8,1.8434176092171546,1.080832514786866,2.2250763655554433,0.09758852680504863,0.3609374654679889,2.0388803000601112,0.5795968388605721,0.08115399411852338,0.8174142938359418
9,0.9490464148825157,2.4113148020547586,2.4682567603415873,1.0935999165788548,3.2601727583237947,0.060847310467627765,0.3695224856739201,2.564361191461403,1.315648676250445
10,3.2571039188531286,0.20751691479508952,0.28600309597973345,2.002944374574084,0.47880543498840217,1.408593107134995,0.3841984035560647,2.312277442491972,0.9516832519707651
11,0.5122831589190582,3.7455106709189425,0.11313505768759614,2.15743784220915,0.22617799088784366,0.49865135042864395,2.266202408682469,1.2670103475068288,1.8730233999286674
12,0.6260427636638399,1.5548962294848847,2.298694385914125,0.439417597185095,1.849702655909802,0.789298890460756,0.5278041009281973,0.24796668837121044,0.8543007654267757
13,0.3503644891311234,2.3759481648302194,1.8925063539670948,0.07715204658242006,0.8791773813864251,0.2512542351228859,3.5900800139731515,1.5011544115797182,0.02376453630359087
14,1.5711260363127983,3.333940577579298,0.4155293684062869,0.2129240497030862,0.5108170233718935,0.08060118484705542,1.0269966829312485,3.839664703760724,0.5117311406549125
15,0.4562448858385327,0.2771795668232742,0.9278040281561035,0.7019549851131732,0.8435925424617752,2.0296504481779203,0.25054808884750696,1.0529431405310434,0.09618811585555966
16,0.30442118196971946,0.8322613120719807,4.459682709121751,0.849685494019862,1.3893495827983224,2.4256216166421867,0.7737600138455202,0.23414900511946143,0.7519156543838761
17,2.0543878028337663,0.579746364993509,1.8887624863646346,0.4811570816339126,1.3464098783561387,0.5627164882759882,1.91256995602425,0.31205556500118403,1.294376364571873
18,3.4378016130209246,0.17044311137270673,0.0897706526894046,0.35831902474262145,0.764187362155119,1.32400121300347,0.37351002075635936,1.800332686415168,0.4472389555775033
19,0.47088404995873634,0.9724010958638784,2.148572247293884,0.6703828719212491,0.5393692264151384,1.0940602081452893,1.2773048087808674,2.6296227231029925,6.443124699361898
20,0.8406963557321618,0.6811024462625371,1.537135805749639,0.1416574688165081,0.19545560268165899,1.5880077632986191,4.22799222505356,2.5960769615522774,1.88067146244627
21,0.08153209719371815,3.945152496266962,3.0253628387333795,1.1801933379871323,1.4635555286753663,3.885094179571322,0.8731909344772607,1.6495380089609633,3.113452784535447
22,0.2656175792357072,1.2847074651898969,1.7004391856131633,2.9190673250569716,1.9244722515123298,0.1945459679218997,0.9372797175095714,0.2847816758819427,3.3004066216053953
23,0.2276405362291167,1.2067484580608805,0.7991091788940227,1.7113056868193433,0.28233158361818655,0.8924412921292988,1.0434846460734595,0.43189082284841146,1.614013426560974
24,2.987323102361123,4.580621764362089,2.127038296701181,1.3680159930964007,0.27769222662916293,1.4771607984165198,0.6617900421311185,3.168376603660813,0.08880917063510854
25,1.780089163474784,1.4962427381963372,0.18839141525949088,0.5881298455603737,0.2813537991208512,0.1843134990206113,1.4659919283297846,3.1484834061535767,1.606269325431785
26,0.3505845860253438,0.7865466936861208,0.7483065769201483,3.7093088433071917,0.7701805139745664,2.1173038257341528,4.031311260139011,0.39602372546670755,2.5429502001965587
27,0.3696327951653425,3.1490803178335915,0.789096917758561,4.287659394742458,1.3868620614958052,2.1234841230875765,2.6032602933713695,0.4862920642607832,2.767993635668134
